subject,CSP_LinearDiscriminantAnalysis,CSP_nbpw,CSP_XGBClassifier,FBCSP_LinearDiscriminantAnalysis,FBCSP_nbpw,FBCSP_XGBClassifier
0,0.875,0.575,0.8666666666666667,0.6583333333333333,0.7583333333333333,0.7333333333333333
1,0.975,0.95,0.95,0.7916666666666666,0.7666666666666667,0.7833333333333333
2,0.7333333333333333,0.6,0.8083333333333333,0.675,0.6583333333333333,0.6666666666666666
3,0.65,0.5833333333333334,0.5833333333333334,0.6916666666666667,0.675,0.6583333333333333
4,0.675,0.675,0.7916666666666666,0.5833333333333334,0.6583333333333333,0.6
5,0.6583333333333333,0.6583333333333333,0.7166666666666667,0.7333333333333333,0.7833333333333333,0.7166666666666667
6,0.7833333333333333,0.725,0.775,0.6916666666666667,0.7166666666666667,0.675
7,0.625,0.525,0.7,0.7083333333333334,0.675,0.6916666666666667
8,0.6166666666666667,0.5416666666666666,0.6666666666666666,0.7416666666666667,0.6916666666666667,0.6666666666666666
9,0.7,0.6583333333333333,0.7916666666666666,0.8083333333333333,0.8,0.8083333333333333
