subject,CSP_LinearDiscriminantAnalysis,CSP_nbpw,CSP_XGBClassifier,FBCSP_LinearDiscriminantAnalysis,FBCSP_nbpw,FBCSP_XGBClassifier
0,0.903888888888889,0.8565277777777778,0.9377777777777778,0.7576388888888889,0.8322222222222222,0.7999999999999999
1,0.9879166666666667,0.9584722222222224,0.9848611111111112,0.8604166666666666,0.8129166666666666,0.8447222222222222
2,0.772638888888889,0.6513888888888888,0.8655555555555556,0.7469444444444444,0.7252777777777779,0.7209722222222221
3,0.7402777777777777,0.585,0.6413888888888889,0.7986111111111112,0.7333333333333334,0.7275
4,0.7305555555555555,0.6943055555555556,0.8619444444444443,0.6430555555555555,0.7118055555555555,0.6586111111111111
5,0.7322222222222221,0.7116666666666667,0.8180555555555555,0.7779166666666668,0.7961111111111112,0.8001388888888888
6,0.866111111111111,0.8431944444444445,0.8693055555555556,0.80875,0.81625,0.74
7,0.6687500000000001,0.6624999999999999,0.7691666666666666,0.7769444444444444,0.7398611111111111,0.7766666666666666
8,0.6708333333333334,0.6368055555555555,0.7531944444444444,0.7595833333333334,0.7626388888888889,0.7575000000000001
9,0.8058333333333333,0.6298611111111111,0.8677777777777778,0.9033333333333333,0.8790277777777777,0.8966666666666667
