subject,CSP_LinearDiscriminantAnalysis,CSP_nbpw,CSP_XGBClassifier,FBCSP_LinearDiscriminantAnalysis,FBCSP_nbpw,FBCSP_XGBClassifier
0,"[[51, 9], [6, 54]]","[[57, 3], [48, 12]]","[[49, 11], [5, 55]]","[[41, 19], [22, 38]]","[[51, 9], [20, 40]]","[[46, 14], [18, 42]]"
1,"[[59, 1], [2, 58]]","[[57, 3], [3, 57]]","[[57, 3], [3, 57]]","[[49, 11], [14, 46]]","[[45, 15], [13, 47]]","[[48, 12], [14, 46]]"
2,"[[44, 16], [16, 44]]","[[26, 34], [14, 46]]","[[51, 9], [14, 46]]","[[40, 20], [19, 41]]","[[50, 10], [31, 29]]","[[41, 19], [21, 39]]"
3,"[[42, 18], [24, 36]]","[[44, 16], [34, 26]]","[[37, 23], [27, 33]]","[[39, 21], [16, 44]]","[[34, 26], [13, 47]]","[[41, 19], [22, 38]]"
4,"[[39, 21], [18, 42]]","[[27, 33], [6, 54]]","[[48, 12], [13, 47]]","[[40, 20], [30, 30]]","[[30, 30], [11, 49]]","[[41, 19], [29, 31]]"
5,"[[37, 23], [18, 42]]","[[41, 19], [22, 38]]","[[46, 14], [20, 40]]","[[44, 16], [16, 44]]","[[46, 14], [12, 48]]","[[40, 20], [14, 46]]"
6,"[[48, 12], [14, 46]]","[[52, 8], [25, 35]]","[[46, 14], [13, 47]]","[[42, 18], [19, 41]]","[[49, 11], [23, 37]]","[[44, 16], [23, 37]]"
7,"[[40, 20], [25, 35]]","[[13, 47], [10, 50]]","[[43, 17], [19, 41]]","[[43, 17], [18, 42]]","[[44, 16], [23, 37]]","[[39, 21], [16, 44]]"
8,"[[34, 26], [20, 40]]","[[42, 18], [37, 23]]","[[39, 21], [19, 41]]","[[46, 14], [17, 43]]","[[43, 17], [20, 40]]","[[43, 17], [23, 37]]"
9,"[[43, 17], [19, 41]]","[[40, 20], [21, 39]]","[[45, 15], [10, 50]]","[[48, 12], [11, 49]]","[[47, 13], [11, 49]]","[[46, 14], [9, 51]]"
