subject,CSP_LinearDiscriminantAnalysis,CSP_nbpw,CSP_XGBClassifier,FBCSP_LinearDiscriminantAnalysis,FBCSP_nbpw,FBCSP_XGBClassifier
0,0.8749218261413383,0.5054545454545455,0.8663324979114453,0.6581196581196581,0.7562854541634568,0.7330367074527253
1,0.9749982637683172,0.95,0.95,0.7915363769022306,0.7666018338427341,0.783273131425396
2,0.7333333333333333,0.5885714285714285,0.808,0.6749774289881242,0.6475392220073071,0.666574048346763
3,0.6491228070175439,0.5737425404944586,0.5828698553948832,0.6911304347826086,0.6711404679924109,0.6581196581196581
4,0.6747967479674797,0.6576695194206715,0.7916521980693103,0.5804195804195804,0.6495476885818078,0.5972027972027971
5,0.6577391304347826,0.6581196581196581,0.7159565580618212,0.7333333333333333,0.783273131425396,0.7159565580618212
6,0.783273131425396,0.7193678690383389,0.7749843739148552,0.6916452531425794,0.7138047138047139,0.6738903212319699
7,0.6243478260869566,0.4750978436037142,0.6999166435120867,0.7083130772970345,0.6738903212319699,0.6911304347826086
8,0.6157059314954052,0.5298810456585227,0.666574048346763,0.741505107358766,0.6914738378153013,0.6658312447786132
9,0.6999166435120867,0.658309604833669,0.791304347826087,0.8083200222237655,0.7999444290080577,0.808
