subject,CSP_LinearDiscriminantAnalysis,CSP_nbpw,CSP_XGBClassifier,FBCSP_LinearDiscriminantAnalysis,FBCSP_nbpw,FBCSP_XGBClassifier
0,0.8759398496240601,0.6714285714285715,0.8703703703703705,0.6587301587301587,0.7673181948835872,0.734375
1,0.9751319811058627,0.95,0.95,0.7923976608187134,0.7669632925472747,0.7836484983314794
2,0.7333333333333333,0.6125,0.8104895104895105,0.6750486246179495,0.6804368471035138,0.6668520578420467
3,0.6515151515151515,0.5915750915750916,0.5837053571428572,0.6930069930069931,0.6836199358787526,0.6587301587301587
4,0.6754385964912281,0.719435736677116,0.7917477076965824,0.5857142857142856,0.6759802408150664,0.6028571428571429
5,0.6594405594405595,0.6587301587301587,0.7188552188552189,0.7333333333333333,0.7836484983314794,0.7188552188552189
6,0.7836484983314794,0.7446390818483841,0.7750764101139205,0.6917199222006113,0.7256944444444444,0.6774148127288088
7,0.6258741258741258,0.5403406544150604,0.7002224694104561,0.7083912197832731,0.6774148127288088,0.6930069930069931
8,0.6178451178451179,0.5463105896881754,0.6668520578420467,0.7422723475355054,0.6921470342522974,0.6683501683501684
9,0.7002224694104561,0.6583773270352875,0.7937062937062938,0.8084190052792443,0.800333704115684,0.8104895104895105
