C3,Cz,C4,true_label
-25.54489569964707,-25.682724607645586,-25.654515047864518,left-hand
-25.791086069467056,-25.163144753459328,-25.15450507234922,right-hand
-25.688995652006298,-24.899719353459428,-25.7069496556652,left-hand
-24.953397122205267,-25.186015549736336,-24.43577066175162,right-hand
-25.644937823989746,-25.217122710988658,-25.52590678198011,right-hand
-25.26683315237536,-25.213452744360502,-25.15233628076893,right-hand
-25.314337728612287,-24.994508539118954,-25.591392497452624,right-hand
-25.646972435594602,-24.929394595532962,-25.09284230661161,right-hand
-25.458638029537244,-25.507962776338932,-25.827003934480786,left-hand
-25.541329597812634,-25.06528283512294,-25.342852327153203,right-hand
-25.115897883460793,-24.664590739961195,-25.262738707825605,right-hand
-24.911931807438613,-25.2060711400874,-25.231455533157458,left-hand
-25.381466918684897,-25.37334729694096,-25.360875171874355,right-hand
-25.302276705166342,-25.053286634044067,-24.908606706393527,right-hand
-25.323997357653397,-25.37972048171996,-25.522200808357475,left-hand
-25.396592920519712,-24.776011545241268,-25.322394848865187,left-hand
-25.615186190506556,-25.224364728187545,-25.502425964572915,left-hand
-25.402871871435373,-25.398996353095225,-25.377198197091904,left-hand
-25.461623090218787,-25.287195948100134,-25.538990496067793,left-hand
-25.776932073707943,-25.08233431436775,-25.830051875851826,left-hand
-25.395283592801427,-25.066518962180425,-25.409621364390436,left-hand
-25.56210850918585,-24.96734670733626,-25.517935463505612,left-hand
-24.88318753489066,-24.998523799748828,-24.97821164872081,left-hand
-25.059218903015196,-24.76377312834511,-25.288031628113306,right-hand
-25.125359615282576,-25.23186945946854,-25.56579515522013,left-hand
-25.561382479521043,-25.22117765938449,-25.176886462422097,left-hand
-25.079630195087343,-25.38600773413271,-25.167267052962703,left-hand
-24.966257365254055,-24.98223216476363,-24.99852861305446,right-hand
-25.591390074508496,-25.150574120215296,-25.6024855638259,right-hand
-25.305151228485364,-24.903428286386006,-25.530775882795652,left-hand
-25.834997226111504,-25.620566845171915,-25.79868264384028,left-hand
-25.730180305559635,-25.585985015190033,-25.640988531342465,right-hand
-26.219927876314753,-25.96064566187775,-25.81137125847101,right-hand
-25.10988903091742,-24.995544727837927,-25.485060556410275,right-hand
-25.40899687067967,-25.052441559662093,-25.95262882385514,right-hand
-24.99913954986228,-25.298206503975873,-25.585975346796694,left-hand
-25.756027146639084,-25.388851050109754,-25.396656174878565,right-hand
-25.36362768112474,-24.67186646624424,-25.007774653049996,right-hand
-25.669366219478817,-25.75557665954934,-25.755629466430836,left-hand
-25.148838916949906,-25.16954904807137,-25.54607853752708,right-hand
-24.85002274166677,-25.03404453105609,-24.051302205295983,left-hand
-25.62727383155214,-25.499947119558215,-25.725245070746347,left-hand
-25.42367220279475,-25.91347426886814,-25.29388011836255,left-hand
-25.056352990448186,-25.144296799046163,-25.565168434904642,left-hand
-25.745126761816007,-25.194995010599364,-25.43330281951612,right-hand
-25.51844990193173,-24.965307030216465,-25.754909963441307,right-hand
-25.23624897458591,-25.435819452109254,-24.127738774870384,right-hand
-25.63669287547952,-25.291707213353963,-25.480107326439327,right-hand
-25.374688052475207,-24.408433203760428,-25.52778504875406,left-hand
-25.27536186165326,-24.650568456362002,-25.33956990708917,left-hand
-25.336737620256248,-25.41827937141022,-25.10170315824282,right-hand
-25.486713294562684,-24.736647002105574,-25.38959722939816,right-hand
-25.582194372240426,-25.385360352569727,-25.854141740054306,left-hand
-25.5785894297758,-25.36022615844672,-25.967023965885666,right-hand
-25.23183556760794,-25.061720422592177,-25.237829282119517,right-hand
-25.04075629958553,-24.914561821245304,-25.458110037286207,right-hand
-25.49227279653146,-25.338088438467253,-25.593304784544948,left-hand
-25.739710471272787,-25.635721375258633,-24.916463021698704,left-hand
-25.824395648790613,-25.211695004160887,-25.389619720570956,right-hand
-25.577419571679766,-25.126454379832097,-25.439300567476124,left-hand
-24.289352674013713,-25.37211148908024,-25.77232218157197,left-hand
-25.51406092301499,-25.38493012891092,-25.936870690632748,left-hand
