Fz,FC3,FC1,FCz,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPz,CP2,CP4,P1,Pz,P2,POz,true_label
-23.328137394848405,-23.13427775436877,-23.02503291667365,-23.06091252620862,-23.2213926527633,-23.341128265550214,-23.65131176129086,-23.239353797845475,-23.14434667383203,-23.074586531122463,-23.283017230904683,-23.515720384280094,-23.810859653849402,-23.384330627120992,-23.191835901846275,-23.177866357219198,-23.338153713703026,-23.520955950536166,-23.27025041456929,-23.213969591998794,-23.331781044919527,-23.262611665650955,right-hand
-22.738053445714726,-22.48880929682398,-22.471921334825467,-22.561081627539476,-22.77616985771726,-22.958388311946337,-23.035604168134224,-22.683036342294134,-22.639404870250793,-22.540410196392944,-22.825679572952588,-23.083582026473223,-23.50952685465614,-22.60881432564369,-22.63457167298681,-22.63526682244451,-22.85162954003232,-23.120454105321528,-22.684588502560672,-22.707295594320303,-22.942284229946996,-22.790433916080723,left-hand
-22.98597527539264,-23.187559116222488,-22.961375502309735,-22.804892381194186,-22.90747865480669,-23.067153811132933,-23.840208821217885,-23.432103510804684,-23.02423137725603,-22.802647337093816,-22.948534160920435,-23.118107201090556,-23.293085874060925,-23.55085876137315,-23.193665303952613,-23.037107803760993,-23.049536988271935,-23.204086189134177,-23.336963241868627,-23.172624764953177,-23.250733945478107,-23.23237362294349,left-hand
-23.562773841776114,-23.603315532299277,-23.391732114309303,-23.351094935831608,-23.352733635180723,-23.41072256655897,-23.838195515083896,-23.49752740536738,-23.386920373833124,-23.376967126005834,-23.38726786895318,-23.567246754066787,-23.65682027372952,-23.449642381511374,-23.44352611806971,-23.52409913446006,-23.426801488502136,-23.64670690236597,-23.347141391519944,-23.510166231666012,-23.577898436260202,-23.40403543473622,right-hand
-23.35618815466267,-23.49004611301767,-23.165335019761155,-22.924261056402333,-23.066260704239017,-23.06197457628429,-24.03874762745744,-23.45988175417579,-23.168674586213275,-22.958085974713235,-23.070578246982947,-23.250029037601145,-23.359792078341282,-23.372665696965175,-23.345186674139995,-23.020841259634402,-23.01003466770614,-23.29957962210189,-23.309037709593973,-23.262750282967016,-23.333639127277237,-23.3236635913936,right-hand
-21.162633203764916,-21.268957428266912,-21.317628057193158,-21.391578117527168,-21.529878250831906,-21.497233623502265,-21.81524779969152,-21.70449924978541,-21.675698383689785,-21.671160048463342,-21.73703419641822,-21.852106600030663,-22.070557533304488,-21.89198120300124,-21.924517603765565,-21.947363156840556,-21.911362960497712,-22.060794121275418,-22.175026965646538,-22.151821766509492,-22.199006413312915,-22.4611378777094,left-hand
-22.814147769415435,-22.58551202480746,-22.508528796034287,-22.49802710027389,-22.61072058896054,-22.756932022866593,-23.167129386288778,-22.614299593361803,-22.437635150696778,-22.274646750347546,-22.51807113109447,-22.729457285593522,-23.19948164772875,-22.79123889370081,-22.56872187432808,-22.507041855146458,-22.508186958984805,-22.797367201119563,-22.852143957578804,-22.69495173096395,-22.77318953892439,-22.94720805105754,left-hand
-23.4116773439742,-23.51628633027468,-23.366020675387606,-23.2126901988285,-23.346116721408606,-23.37984243202589,-24.09343219416596,-23.674261911483278,-23.373377155690633,-23.194840052780485,-23.365232477207396,-23.579990767684066,-23.728094687557913,-23.540489610481647,-23.545767163969554,-23.403333688475307,-23.50574723331531,-23.649191386728024,-23.461201504681192,-23.379141295836032,-23.554997992051536,-23.316645803152387,left-hand
-22.971784722577073,-23.11731591570507,-22.824557990894984,-22.567440951932383,-22.791476356542727,-22.998602297055275,-23.84586427391755,-23.34472610700971,-22.93661987762374,-22.740014154507218,-22.910439886549874,-23.266390205983015,-23.648088462498432,-23.60273023307595,-23.239651485408103,-23.11077330804647,-23.211243565776893,-23.44933326042668,-23.484586797581983,-23.341254412861815,-23.443096273968802,-23.259616211972507,right-hand
-22.724701726877576,-22.637111671002575,-22.640548903793924,-22.41430871842212,-22.588446299574116,-22.72915747253666,-23.134364809036768,-22.803485345348466,-22.624114638200634,-22.5810121412375,-22.639255519574448,-22.81821859853503,-23.015878560955333,-22.87931502152153,-22.687312853999913,-22.66138104245304,-22.7743712117725,-22.869222216626472,-22.876342569210685,-22.799772313316545,-22.92545682617033,-23.123954629343018,right-hand
-23.189895555262936,-23.24937399643008,-23.064054407052723,-23.033481804490275,-23.17754943197089,-23.30094183362218,-23.58791316463766,-23.314933213187025,-23.14031306986452,-23.069428226169183,-23.262398399286074,-23.507051348308504,-23.825035115980025,-23.470960402025433,-23.35466859300108,-23.30912404514487,-23.385601976490914,-23.61421853213918,-23.507364484175373,-23.480479587728905,-23.60057627474274,-23.400939937673982,left-hand
-22.77708575136697,-22.80763557894147,-22.611494119734797,-22.368840694558163,-22.63694695475987,-22.82069247071344,-23.139881048327926,-22.799028697954434,-22.607274068200326,-22.512115230285627,-22.605907865316073,-22.800652530214485,-23.041421913162324,-22.729278053362094,-22.647508206910718,-22.612971726440126,-22.623485484719197,-22.74522972135022,-22.60762741371761,-22.607624400652583,-22.642586960771393,-22.670847255987,left-hand
-22.80190813755762,-22.984782200724993,-22.757857228731456,-22.73384201770983,-22.741443528140696,-22.859249554229137,-23.434236778371716,-23.030386288411894,-22.84310436314951,-22.738756064086193,-22.79548370017549,-23.007711902594142,-23.328725028525998,-23.029018037867214,-22.9180029995248,-22.864320089722366,-22.954001095082138,-23.098392684818506,-22.884735437713445,-22.928459658914075,-23.06085494467926,-22.897724571570258,left-hand
-23.24828627128676,-23.650599185709925,-23.36112780204045,-23.097954513509276,-23.163073688875315,-23.25924242542677,-24.381805040540875,-23.83307835989924,-23.453825627292336,-23.1056063685973,-23.219401101972714,-23.36963256826076,-23.51641186265831,-23.675018934715922,-23.46970872878118,-23.345488847916368,-23.366218090113094,-23.436849181921996,-23.552561199516713,-23.437796129339606,-23.424111769393328,-23.33722765424881,right-hand
-23.13183460097551,-23.1778439304844,-23.112886929370113,-23.030536419753147,-23.128241033559224,-22.848016928091763,-23.548795070665147,-23.284345072303847,-23.050742169700662,-23.05824089985395,-23.18038846309941,-23.19699291733676,-23.393116038746506,-23.225274298271607,-23.26424765570888,-23.15010768574259,-23.22799512002905,-23.181767927216274,-23.323995179151478,-23.308464058681324,-23.242976226538907,-23.373311818571324,left-hand
-23.153964894457232,-23.14259987111195,-22.98824859049054,-22.91431413421958,-22.898356612790213,-23.015182258836866,-23.55789506364411,-23.131327164777215,-22.932698988296238,-22.762866969218695,-22.92084903151084,-23.067100639507586,-23.263039664725582,-23.23482574319968,-22.98469525086471,-22.898706249197943,-23.02439020532612,-23.143783274457085,-23.250267970172814,-23.146454102942183,-23.269012533402588,-23.392338669831236,right-hand
-23.025160231485327,-23.103107825536664,-22.90374030013536,-22.8301235530084,-22.9100396618376,-23.06495278419094,-23.43251891537511,-23.06835813510934,-22.8766031822211,-22.64063421573449,-22.8025760853657,-22.981071778963724,-23.53137690732779,-23.040599198126436,-22.862795044790918,-22.648602301819817,-22.72421661358783,-22.98285844108567,-22.799035691248474,-22.801635336891238,-22.89340833183729,-22.848377746304262,right-hand
-23.04751312283452,-23.16480120534643,-23.131992067722916,-23.05977267340724,-23.23945463091087,-23.207361810782302,-23.72451255471631,-23.598205150663684,-23.423671449081237,-23.305805747782934,-23.40971662058036,-23.397289987172908,-23.431626888817433,-23.84743343163927,-23.735968886255037,-23.633466706788177,-23.78589373685619,-23.690840134711152,-23.92447119730232,-23.930065067526872,-24.02670405664537,-23.823690641505298,left-hand
-23.047536415050917,-23.155824641464452,-23.04183909663163,-22.93040542423783,-22.993517159707945,-22.982555738969186,-23.414777887289624,-23.178014364076194,-23.04923128260182,-22.929463072178486,-22.932991659737706,-23.037611770046052,-23.316795689165946,-23.117018130566027,-23.025970432472445,-22.884808318475496,-22.974391500214743,-23.062331679217145,-22.998935889852763,-22.957554966683606,-23.0061922243248,-22.961999439273704,right-hand
